kpi_name,kpi_id,branch,unit,year,month,day,numerator,denominator,value
Cho_Nhap,4,VLG,HUBBTE,2026,6,19,332.0,27.0,12.296296296296296
Cho_Nhap,4,CBG,HUBCBG,2026,6,5,52.0,4.0,13.0
Cho_Nhap,4,NBH,HUBNDH,2026,6,18,179.0,25.0,7.16
Cho_Nhap,4,DTP,HUBTGG,2026,6,7,411.0,22.0,18.681818181818183
Cho_Nhap,4,LCI,HUBYBN,2026,6,3,127.0,10.0,12.7
Cho_Nhap,4,QTI,HUBQBH,2026,6,12,111.0,18.0,6.166666666666667
Cho_Nhap,4,LOG,TTKT1,2026,6,16,2689.0,118.0,22.78813559322034
Cho_Nhap,4,LOG,TTKT3,2026,6,16,5807.0,129.0,45.01550387596899
Cho_Nhap,4,DNI,HUBDNI,2026,6,6,638.0,52.0,12.26923076923077
Cho_Nhap,4,HNI,HUBYAN,2026,6,18,928.0,29.0,32.0
Cho_Nhap,4,TQG,HUBTQG,2026,6,6,72.0,9.0,8.0
Cho_Nhap,4,GLI,HUBBHD,2026,6,12,37.0,9.0,4.111111111111111
Cho_Nhap,4,TNN,HUBTNN,2026,6,1,180.0,19.0,9.473684210526315
Cho_Nhap,4,PHO,HUBPHO,2026,6,12,382.0,22.0,17.363636363636363
Cho_Nhap,4,LOG,TTKT3,2026,6,6,8566.0,134.0,63.92537313432836
Cho_Nhap,4,AGG,HUBAGG,2026,6,8,226.0,23.0,9.826086956521738
Cho_Nhap,4,CMU,HUBBLU,2026,6,18,115.0,11.0,10.454545454545455
Cho_Nhap,4,LOG,TTKT1,2026,6,10,2942.0,126.0,23.349206349206348
Cho_Nhap,4,TQG,HUBTQG,2026,6,7,58.0,8.0,7.25
Cho_Nhap,4,LOG,TTTK3K2,2026,6,8,7.0,1.0,7.0
Cho_Nhap,4,HPG,HUBHPG,2026,6,3,158.0,27.0,5.851851851851852
Cho_Nhap,4,SLA,HUBSLA,2026,6,15,5.0,1.0,5.0
Cho_Nhap,4,LOG,TTKT4,2026,6,13,1158.0,83.0,13.951807228915662
Cho_Nhap,4,AGG,HUBKGG02,2026,6,1,6.0,3.0,2.0
Cho_Nhap,4,LSN,HUBLSN,2026,6,5,38.0,5.0,7.6
Cho_Nhap,4,BNH,HUBBGG,2026,6,18,403.0,30.0,13.433333333333334
Cho_Nhap,4,HNI,HN03,2026,6,4,6.0,1.0,6.0
Cho_Nhap,4,TNH,HUBTNH,2026,6,6,155.0,28.0,5.535714285714286
Cho_Nhap,4,HPG,HUBHPG,2026,6,6,305.0,25.0,12.2
Cho_Nhap,4,NBH,HUBHNM,2026,6,17,56.0,9.0,6.222222222222222
Cho_Nhap,4,LOG,TTKT4,2026,6,17,1337.0,76.0,17.592105263157894
Cho_Nhap,4,HPG,HUBHDG,2026,6,6,126.0,26.0,4.846153846153846
Cho_Nhap,4,HNI,HUBTTI,2026,5,31,8.0,1.0,8.0
Cho_Nhap,4,LOG,LOGTDC,2026,6,2,209.0,6.0,34.833333333333336
Cho_Nhap,4,LOG,TTSGN,2026,6,9,724.0,21.0,34.476190476190474
Cho_Nhap,4,LCU,HUBLCU,2026,6,3,9.0,3.0,3.0
Cho_Nhap,4,TNH,HUBTNH,2026,6,15,443.0,26.0,17.03846153846154
Cho_Nhap,4,DNI,HUBBPC,2026,6,4,405.0,27.0,15.0
Cho_Nhap,4,BNH,HUBBNH,2026,6,8,695.0,33.0,21.060606060606062
Cho_Nhap,4,DLK,HUBDLK,2026,6,4,1473.0,40.0,36.825
Cho_Nhap,4,QNI,HUBKTM,2026,6,18,68.0,16.0,4.25
Cho_Nhap,4,SLA,HUBSLA,2026,6,3,65.0,3.0,21.666666666666668
Cho_Nhap,4,LOG,LOGBN,2026,6,17,1582.0,63.0,25.11111111111111
Cho_Nhap,4,QNH,HUBQNH,2026,6,8,621.0,24.0,25.875
Cho_Nhap,4,QNI,HUBQNI,2026,6,18,71.0,17.0,4.176470588235294
Cho_Nhap,4,LCI,HUBLCI01,2026,6,8,11.0,3.0,3.6666666666666665
Cho_Nhap,4,HCM,QU2,2026,6,18,364.0,3.0,121.33333333333333
Cho_Nhap,4,LOG,TTKT2,2026,6,10,2160.0,83.0,26.02409638554217
Cho_Nhap,4,QTI,HUBQTI,2026,6,5,61.0,14.0,4.357142857142857
Cho_Nhap,4,LCI,HUBLCI01,2026,6,13,11.0,5.0,2.2
