kpi_id,unit_id,month,year,target_value,
3,HUBNBH,8,2026,0.978894,
3,HUBNBH,9,2026,0.950103,
3,HUBNBH,10,2026,0.950103,
3,HUBNBH,11,2026,0.950103,
3,HUBNBH,12,2026,0.940506,
3,HUBQBH,1,2026,0.92904,
3,HUBQBH,2,2026,0.93852,
3,HUBQBH,3,2026,0.95748,
3,HUBQBH,4,2026,0.95748,
3,HUBQBH,5,2026,0.948,
3,HUBQBH,6,2026,0.96696,
3,HUBQBH,7,2026,0.96696,
3,HUBQBH,8,2026,0.96696,
3,HUBQBH,9,2026,0.93852,
3,HUBQBH,10,2026,0.93852,
3,HUBQBH,11,2026,0.93852,
3,HUBQBH,12,2026,0.92904,
3,HUBTHA,1,2026,0.923454,
3,HUBTHA,2,2026,0.932877,
3,HUBTHA,3,2026,0.951723,
3,HUBTHA,4,2026,0.951723,
3,HUBTHA,5,2026,0.9423,
3,HUBTHA,6,2026,0.961146,
3,HUBTHA,7,2026,0.961146,
3,HUBTHA,8,2026,0.961146,
3,HUBTHA,9,2026,0.932877,
3,HUBTHA,10,2026,0.932877,
3,HUBTHA,11,2026,0.932877,
3,HUBTHA,12,2026,0.923454,
3,HUBHUE,1,2026,0.947562,
3,HUBHUE,2,2026,0.957231,
3,HUBHUE,3,2026,0.976569,
3,HUBHUE,4,2026,0.976569,
3,HUBHUE,5,2026,0.9669,
3,HUBHUE,6,2026,0.986238,
3,HUBHUE,7,2026,0.986238,
3,HUBHUE,8,2026,0.986238,
3,HUBHUE,9,2026,0.957231,
3,HUBHUE,10,2026,0.957231,
3,HUBHUE,11,2026,0.957231,
3,HUBHUE,12,2026,0.947562,
3,HUBKTM,1,2026,0.918064,
3,HUBKTM,2,2026,0.927432,
3,HUBKTM,3,2026,0.946168,
3,HUBKTM,4,2026,0.946168,
3,HUBKTM,5,2026,0.9368,
3,HUBKTM,6,2026,0.955536,
3,HUBKTM,7,2026,0.955536,
3,HUBKTM,8,2026,0.955536,
3,HUBKTM,9,2026,0.927432,
3,HUBKTM,10,2026,0.927432,
3,HUBKTM,11,2026,0.927432,
3,HUBKTM,12,2026,0.918064,
3,HUBQNI,1,2026,0.929138,
3,HUBQNI,2,2026,0.938619,
3,HUBQNI,3,2026,0.957581,
3,HUBQNI,4,2026,0.957581,
3,HUBQNI,5,2026,0.9481,
3,HUBQNI,6,2026,0.967062,
3,HUBQNI,7,2026,0.967062,
3,HUBQNI,8,2026,0.967062,
3,HUBQNI,9,2026,0.938619,
3,HUBQNI,10,2026,0.938619,
3,HUBQNI,11,2026,0.938619,
3,HUBQNI,12,2026,0.929138,
3,HUBQNM,1,2026,0.938154,
3,HUBQNM,2,2026,0.947727,
3,HUBQNM,3,2026,0.966873,
3,HUBQNM,4,2026,0.966873,
3,HUBQNM,5,2026,0.9573,
3,HUBQNM,6,2026,0.976446,
3,HUBQNM,7,2026,0.976446,
3,HUBQNM,8,2026,0.976446,
3,HUBQNM,9,2026,0.947727,
3,HUBQNM,10,2026,0.947727,
3,HUBQNM,11,2026,0.947727,
3,HUBQNM,12,2026,0.938154,
3,HUBQTI,1,2026,0.946386,
3,HUBQTI,2,2026,0.956043,
3,HUBQTI,3,2026,0.975357,
3,HUBQTI,4,2026,0.975357,
3,HUBQTI,5,2026,0.9657,
3,HUBQTI,6,2026,0.985014,
3,HUBQTI,7,2026,0.985014,
3,HUBQTI,8,2026,0.985014,
3,HUBQTI,9,2026,0.956043,
3,HUBQTI,10,2026,0.956043,
3,HUBQTI,11,2026,0.956043,
3,HUBQTI,12,2026,0.946386,
3,HUBBDH,1,2026,0.93786,
3,HUBBDH,2,2026,0.94743,
3,HUBBDH,3,2026,0.96657,
3,HUBBDH,4,2026,0.96657,
3,HUBBDH,5,2026,0.957,
3,HUBBDH,6,2026,0.97614,
3,HUBBDH,7,2026,0.97614,
3,HUBBDH,8,2026,0.97614,
3,HUBBDH,9,2026,0.94743,
3,HUBBDH,10,2026,0.94743,
3,HUBBDH,11,2026,0.94743,
3,HUBBDH,12,2026,0.93786,
3,HUBBTN,1,2026,0.913556,
3,HUBBTN,2,2026,0.922878,
3,HUBBTN,3,2026,0.941522,
3,HUBBTN,4,2026,0.941522,
3,HUBBTN,5,2026,0.9322,
3,HUBBTN,6,2026,0.950844,
3,HUBBTN,7,2026,0.950844,
3,HUBBTN,8,2026,0.950844,
3,HUBBTN,9,2026,0.922878,
3,HUBBTN,10,2026,0.922878,
3,HUBBTN,11,2026,0.922878,
3,HUBBTN,12,2026,0.913556,
3,HUBDLK,1,2026,0.925414,
3,HUBDLK,2,2026,0.934857,
3,HUBDLK,3,2026,0.953743,
3,HUBDLK,4,2026,0.953743,
3,HUBDLK,5,2026,0.9443,
3,HUBDLK,6,2026,0.963186,
3,HUBDLK,7,2026,0.963186,
3,HUBDLK,8,2026,0.963186,
3,HUBDLK,9,2026,0.934857,
3,HUBDLK,10,2026,0.934857,
3,HUBDLK,11,2026,0.934857,
3,HUBDLK,12,2026,0.925414,
3,HUBGLI,1,2026,0.905324,
3,HUBGLI,2,2026,0.914562,
3,HUBGLI,3,2026,0.933038,
3,HUBGLI,4,2026,0.933038,
3,HUBGLI,5,2026,0.9238,
3,HUBGLI,6,2026,0.942276,
3,HUBGLI,7,2026,0.942276,
3,HUBGLI,8,2026,0.942276,
3,HUBGLI,9,2026,0.914562,
3,HUBGLI,10,2026,0.914562,
3,HUBGLI,11,2026,0.914562,
3,HUBGLI,12,2026,0.905324,
3,HUBKHA,1,2026,0.937958,
3,HUBKHA,2,2026,0.947529,
3,HUBKHA,3,2026,0.966671,
3,HUBKHA,4,2026,0.966671,
3,HUBKHA,5,2026,0.9571,
3,HUBKHA,6,2026,0.976242,
3,HUBKHA,7,2026,0.976242,
3,HUBKHA,8,2026,0.976242,
3,HUBKHA,9,2026,0.947529,
3,HUBKHA,10,2026,0.947529,
3,HUBKHA,11,2026,0.947529,
3,HUBKHA,12,2026,0.937958,
3,HUBLDG01,1,2026,0.882,
3,HUBLDG01,2,2026,0.891,
3,HUBLDG01,3,2026,0.909,
3,HUBLDG01,4,2026,0.909,
3,HUBLDG01,5,2026,0.9,
3,HUBLDG01,6,2026,0.918,
3,HUBLDG01,7,2026,0.918,
3,HUBLDG01,8,2026,0.918,
3,HUBLDG01,9,2026,0.891,
3,HUBLDG01,10,2026,0.891,
3,HUBLDG01,11,2026,0.891,
3,HUBLDG01,12,2026,0.882,
3,HUBNTN,1,2026,0.946876,
3,HUBNTN,2,2026,0.956538,
3,HUBNTN,3,2026,0.975862,
3,HUBNTN,4,2026,0.975862,
3,HUBNTN,5,2026,0.9662,
3,HUBNTN,6,2026,0.985524,
3,HUBNTN,7,2026,0.985524,
3,HUBNTN,8,2026,0.985524,
3,HUBNTN,9,2026,0.956538,
3,HUBNTN,10,2026,0.956538,
3,HUBNTN,11,2026,0.956538,
3,HUBNTN,12,2026,0.946876,
3,HUBPYN,1,2026,0.9506,
3,HUBPYN,2,2026,0.9603,
3,HUBPYN,3,2026,0.9797,
3,HUBPYN,4,2026,0.9797,
3,HUBPYN,5,2026,0.97,
3,HUBPYN,6,2026,0.9894,
3,HUBPYN,7,2026,0.9894,
3,HUBPYN,8,2026,0.9894,
3,HUBPYN,9,2026,0.9603,
3,HUBPYN,10,2026,0.9603,
3,HUBPYN,11,2026,0.9603,
3,HUBPYN,12,2026,0.9506,
3,HUBBDG,1,2026,0.942662,
3,HUBBDG,2,2026,0.952281,
3,HUBBDG,3,2026,0.971519,
3,HUBBDG,4,2026,0.971519,
3,HUBBDG,5,2026,0.9619,
3,HUBBDG,6,2026,0.981138,
3,HUBBDG,7,2026,0.981138,
3,HUBBDG,8,2026,0.981138,
3,HUBBDG,9,2026,0.952281,
3,HUBBDG,10,2026,0.952281,
3,HUBBDG,11,2026,0.952281,
3,HUBBDG,12,2026,0.942662,
3,HUBBPC,1,2026,0.940996,
3,HUBBPC,2,2026,0.950598,
3,HUBBPC,3,2026,0.969802,
3,HUBBPC,4,2026,0.969802,
3,HUBBPC,5,2026,0.9602,
3,HUBBPC,6,2026,0.979404,
3,HUBBPC,7,2026,0.979404,
3,HUBBPC,8,2026,0.979404,
3,HUBBPC,9,2026,0.950598,
3,HUBBPC,10,2026,0.950598,
3,HUBBPC,11,2026,0.950598,
3,HUBBPC,12,2026,0.940996,
3,HUBBTE,1,2026,0.937762,
3,HUBBTE,2,2026,0.947331,
3,HUBBTE,3,2026,0.966469,
3,HUBBTE,4,2026,0.966469,
3,HUBBTE,5,2026,0.9569,
3,HUBBTE,6,2026,0.976038,
3,HUBBTE,7,2026,0.976038,
3,HUBBTE,8,2026,0.976038,
3,HUBBTE,9,2026,0.947331,
3,HUBBTE,10,2026,0.947331,
3,HUBBTE,11,2026,0.947331,
3,HUBBTE,12,2026,0.937762,
3,HUBDKG,1,2026,0.882,
3,HUBDKG,2,2026,0.891,
3,HUBDKG,3,2026,0.909,
3,HUBDKG,4,2026,0.909,
3,HUBDKG,5,2026,0.9,
3,HUBDKG,6,2026,0.918,
3,HUBDKG,7,2026,0.918,
3,HUBDKG,8,2026,0.918,
3,HUBDKG,9,2026,0.891,
3,HUBDKG,10,2026,0.891,
3,HUBDKG,11,2026,0.891,
3,HUBDKG,12,2026,0.882,
3,HUBDNI,1,2026,0.93786,
3,HUBDNI,2,2026,0.94743,
3,HUBDNI,3,2026,0.96657,
3,HUBDNI,4,2026,0.96657,
3,HUBDNI,5,2026,0.957,
3,HUBDNI,6,2026,0.97614,
3,HUBDNI,7,2026,0.97614,
3,HUBDNI,8,2026,0.97614,
3,HUBDNI,9,2026,0.94743,
3,HUBDNI,10,2026,0.94743,
3,HUBDNI,11,2026,0.94743,
3,HUBDNI,12,2026,0.93786,
3,HUBLAN,1,2026,0.92855,
3,HUBLAN,2,2026,0.938025,
3,HUBLAN,3,2026,0.956975,
3,HUBLAN,4,2026,0.956975,
3,HUBLAN,5,2026,0.9475,
3,HUBLAN,6,2026,0.96645,
3,HUBLAN,7,2026,0.96645,
3,HUBLAN,8,2026,0.96645,
3,HUBLAN,9,2026,0.938025,
3,HUBLAN,10,2026,0.938025,
3,HUBLAN,11,2026,0.938025,
