year,month,day,unit,branch,previous_inbound_ton,previous_inbound_vol
2026,6,11,HUBVPC,PHO,12.237822,6473.0
2026,6,11,HUBVTU,HCM,12.165569,4008.0
2026,6,11,HUBYAN,HNI,10.987656999999999,5534.0
2026,6,11,HUBYBN,LCI,9.737574,3497.0
2026,6,11,LOGBN,TTKT5,150.098301,36172.0
2026,6,11,LOGTDC,,16.948876,11640.0
2026,6,11,QU6,,0.258065,420.0
2026,6,11,QU8,,0.572442,822.0
2026,6,11,TML,,0.490108,710.0
2026,6,11,TTDAD,,4.074356,2480.0
2026,6,11,TTKNB,,20.767117,20364.0
2026,6,11,TTKT1,TTKT1,100.79606899999999,57106.0
2026,6,11,TTKT2,TTKT2,45.112528,14212.0
2026,6,11,TTKT3,TTKT3,121.97258099999999,61484.0
2026,6,11,TTKT4,TTKT4,68.49767533333332,19041.0
2026,6,11,TTKT5,TTKT5,221.09744133333334,117145.0
2026,6,11,TTSGN,,18.776752,14100.0
2026,6,11,TTTK3K2,TTKT3,38.000418025641025,13143.0
2026,6,12,BBSDPG,HNI,0.40549999999999997,26.0
2026,6,12,DCCNKT3,TTKT3,89.49239169230769,59936.0
2026,6,12,DSBDG,,9.772886999999999,797.0
2026,6,12,DSBNH,,0.519,35.0
2026,6,12,DSDNI,,1.9200469999999998,248.0
2026,6,12,DSHDG,,1.328033,36.0
2026,6,12,DSKV3,,29.38298569047619,1836.0
2026,6,12,DSKV4,,0.033636,19.0
2026,6,12,DSKV5,,45.717411999999996,3929.0
2026,6,12,DSLAN,,0.015,1.0
2026,6,12,DSVPC,,9.828001,827.0
2026,6,12,HBBDHN,,1.5449899999999999,704.0
2026,6,12,HBHCTB,,1.420515,1974.0
2026,6,12,HBHCTD,,0.046439999999999995,76.0
2026,6,12,HCM01,,0.46090899999999996,1472.0
2026,6,12,HCM04,,1.0318859999999999,1412.0
2026,6,12,HCM06,,0.00737,37.0
2026,6,12,HCM12,,0.010339,9.0
2026,6,12,HCMTTOG,,0.131,11.0
2026,6,12,HN02,,0.47437399999999996,17.0
2026,6,12,HN03,,0.037989999999999996,46.0
2026,6,12,HN04,,1.259364,1680.0
2026,6,12,HN07,,0.004,2.0
2026,6,12,HN08,,2.184551,3011.0
2026,6,12,HN10,,1.457917,1992.0
2026,6,12,HNIDDA,,1.769147,2239.0
2026,6,12,HNIHKM,,1.457827,1835.0
2026,6,12,HUBAGG,AGG,16.257263,6485.0
2026,6,12,HUBBDG,HCM,11.856344,4405.0
2026,6,12,HUBBGG,BNH,22.610272,9280.0
2026,6,12,HUBBHD,GLI,10.255453333333334,2392.0
2026,6,12,HUBBKN,TNN,4.007059,1319.0
2026,6,12,HUBBLU,CMU,9.496922999999999,3425.0
2026,6,12,HUBBNH,BNH,15.081242999999999,9496.0
2026,6,12,HUBBPC,DNI,10.372579142857143,3084.0
2026,6,12,HUBBTE,VLG,10.752843,4717.0
2026,6,12,HUBBTN,LDG,24.420987999999998,6623.0
2026,6,12,HUBCBG,CBG,0.028107999999999998,7.0
2026,6,12,HUBCMU,CMU,16.693558666666664,6219.0
2026,6,12,HUBDBN,DBN,0.668291,146.0
2026,6,12,HUBDKG,LDG,0.976455,313.0
2026,6,12,HUBDLK,DLK,11.18076,3743.0
2026,6,12,HUBDNG,DNG,11.962302,4884.0
2026,6,12,HUBDNI,DNI,25.043281,10156.0
2026,6,12,HUBDTP,DTP,15.328736999999999,5349.0
2026,6,12,HUBGLI,GLI,0.971243,901.0
2026,6,12,HUBHBH,PHO,12.505061999999999,4475.0
2026,6,12,HUBHCM,,11.339342,506.0
2026,6,12,HUBHDG,HPG,19.808318999999997,9677.0
2026,6,12,HUBHGG,TQG,4.830833,700.0
2026,6,12,HUBHNI,HNI,3.631507,248.0
2026,6,12,HUBHNM,NBH,14.603226999999999,5696.0
2026,6,12,HUBHPG,HPG,37.934095,15310.0
2026,6,12,HUBHTH,HTH,6.255790333333333,1594.0
2026,6,12,HUBHUE,HUE,6.833603,3801.0
2026,6,12,HUBHYN,HYN,16.031765999999998,8910.0
2026,6,12,HUBKGG01,AGG,18.453408,6709.0
2026,6,12,HUBKGG02,AGG,2.868999,190.0
2026,6,12,HUBKHA,KHA,10.610975,1833.0
2026,6,12,HUBKTM,QNI,2.493375,946.0
2026,6,12,HUBLAN,TNH,14.685694999999999,6526.0
2026,6,12,HUBLBN,HNI,15.621654,10889.0
2026,6,12,HUBLCI01,LCI,3.5566,1308.0
2026,6,12,HUBLCI02,LCI,2.32698,585.0
2026,6,12,HUBLDG01,LDG,5.2373579999999995,461.0
2026,6,12,HUBLDG03,LDG,3.8547546666666666,913.0
2026,6,12,HUBLSN,LSN,10.857177,2875.0
2026,6,12,HUBNAN,NAN,23.504251,7330.0
2026,6,12,HUBNBH,NBH,12.153678,4700.0
2026,6,12,HUBNDH,NBH,11.881922999999999,6328.0
2026,6,12,HUBNTN,KHA,0.819718,96.0
2026,6,12,HUBPHO,PHO,14.799854,7277.0
2026,6,12,HUBPYN,DLK,4.536994,1888.0
2026,6,12,HUBQBH,QTI,4.140962,1307.0
2026,6,12,HUBQNH,QNH,17.952941,6956.0
2026,6,12,HUBQNI,QNI,8.097188,4370.0
2026,6,12,HUBQNM,DNG,11.988906,4138.0
2026,6,12,HUBQTI,QTI,2.659884,1025.0
2026,6,12,HUBSLA,SLA,0.0123,4.0
2026,6,12,HUBSTG,CTO,15.125359,5334.0
